MSA,LAT,LON,Provider,Market Size,Number of Companies,Market Share,Defend $,Product,Exclusion,Included_In_Ranking,Provider_Ratio,Benchmark,Competitor_Ratio,Provider_Opportunity_Rank,Overall_Opportunity_Rank,Opportunity_Score,Opportunity_Category,Firm ID,Total_Weight,Number_of_Occurrences,Weighted_Average_Score
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Capital One,331419363,2042,0.002,0,Credit_Cash_Management,True,False,,,,,,,,4859.0,63.35,11.0,4.558168902920284
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Caterpillar Inc.,331419363,2042,0.006,0,Credit_Cash_Management,True,False,,,,,,,,727.0,10.3,1.0,4.0
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Desert Schools Federal Credit Union,331419363,2042,0.001,0,Credit_Cash_Management,True,False,,,,,,,,1054.0,11.77,1.0,4.0
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Enterprise Bank (MO),331419363,2042,0.011,1843816,Credit_Cash_Management,False,True,0.505762955,0.071946146,7.029743555,10.0,690.0,0.1422527,Poor,1171.0,8.11,1.0,5.0
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Fifth Third Bank,331419363,2042,0.0,0,Credit_Cash_Management,False,True,0.0,0.071946146,0.0,5.0,436.0,inf,Good,1273.0,13.98,3.0,4.29041487839771
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,First Citizens Bank & Trust (NC/VA),331419363,2042,0.003,0,Credit_Cash_Management,False,True,0.0,0.071946146,0.0,4.0,340.0,inf,Good,1299.0,8.11,1.0,5.0
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Flagstar,331419363,2042,0.018,0,Credit_Cash_Management,False,True,0.0,0.071946146,0.0,3.0,167.0,inf,Good,,,,
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Ford Motor,331419363,2042,0.002,0,Credit_Cash_Management,True,False,,,,,,,,,,,
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Global Payments,331419363,2042,0.0,0,Credit_Cash_Management,True,False,,,,,,,,6035.0,23.54,2.0,3.4999999999999996
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,HSBC,331419363,2042,0.0,74038,Credit_Cash_Management,True,False,,,,,,,,1570.0,18.0,4.0,3.635
